name,latitude,longitude,search_query,gmaps_link
Circle K Babarsari 2,-7.7738257,110.4100113,Circle K,"https://www.google.com/maps/search/Circle%20K%20Babarsari%202/@-7.7738257,110.4100113,17z"
Circle K Batas Kota,-7.7830202,110.3912512,Circle K,"https://www.google.com/maps/search/Circle%20K%20Batas%20Kota/@-7.7830202,110.3912512,17z"
Circle K DR. Wahidin (Korner),-7.7866568,110.3787891,Circle K,"https://www.google.com/maps/search/Circle%20K%20DR.%20Wahidin%20%28Korner%29/@-7.7866568,110.3787891,17z"
Circle K Dagen,-7.7936453,110.3618348,Circle K,"https://www.google.com/maps/search/Circle%20K%20Dagen/@-7.7936453,110.3618348,17z"
Circle K Demangan,-7.7783721,110.3927723,Circle K,"https://www.google.com/maps/search/Circle%20K%20Demangan/@-7.7783721,110.3927723,17z"
Circle K Demangan 2,-7.7756717,110.393323,Circle K,"https://www.google.com/maps/search/Circle%20K%20Demangan%202/@-7.7756717,110.393323,17z"
Circle K Dr Sutomo Lempuyangan,-7.7946817,110.3777239,Circle K,"https://www.google.com/maps/search/Circle%20K%20Dr%20Sutomo%20Lempuyangan/@-7.7946817,110.3777239,17z"
Circle K Gajahmada,-7.7969874,110.3724974,Circle K,"https://www.google.com/maps/search/Circle%20K%20Gajahmada/@-7.7969874,110.3724974,17z"
Circle K Gatic Condong Sari,-7.7723207,110.4049484,Circle K,"https://www.google.com/maps/search/Circle%20K%20Gatic%20Condong%20Sari/@-7.7723207,110.4049484,17z"
Circle K Gejayan - Ramen Korner,-7.7595982,110.3953125,Circle K,"https://www.google.com/maps/search/Circle%20K%20Gejayan%20-%20Ramen%20Korner/@-7.7595982,110.3953125,17z"
Circle K Gejayan 17C,-7.7723399,110.3895973,Circle K,"https://www.google.com/maps/search/Circle%20K%20Gejayan%2017C/@-7.7723399,110.3895973,17z"
Circle K Janti Yogya Expo Center,-7.7984788,110.4066626,Circle K,"https://www.google.com/maps/search/Circle%20K%20Janti%20Yogya%20Expo%20Center/@-7.7984788,110.4066626,17z"
Circle K Jl. Magelang KM 5,-7.7552712,110.3619177,Circle K,"https://www.google.com/maps/search/Circle%20K%20Jl.%20Magelang%20KM%205/@-7.7552712,110.3619177,17z"
Circle K Jl. Magelang KM. 7,-7.7428691,110.3622775,Circle K,"https://www.google.com/maps/search/Circle%20K%20Jl.%20Magelang%20KM.%207/@-7.7428691,110.3622775,17z"
Circle K Jwalk,-7.7794404,110.414273,Circle K,"https://www.google.com/maps/search/Circle%20K%20Jwalk/@-7.7794404,110.414273,17z"
Circle K Kaliurang Atas KM 5.5 (KORNER),-7.7584411,110.3817647,Circle K,"https://www.google.com/maps/search/Circle%20K%20Kaliurang%20Atas%20KM%205.5%20%28KORNER%29/@-7.7584411,110.3817647,17z"
Circle K Kaliurang Bawah,-7.763745,110.379285,Circle K,"https://www.google.com/maps/search/Circle%20K%20Kaliurang%20Bawah/@-7.763745,110.379285,17z"
Circle K Kotabaru,-7.7877972,110.3733569,Circle K,"https://www.google.com/maps/search/Circle%20K%20Kotabaru/@-7.7877972,110.3733569,17z"
Circle K Kusumanegara,-7.802221,110.3941019,Circle K,"https://www.google.com/maps/search/Circle%20K%20Kusumanegara/@-7.802221,110.3941019,17z"
Circle K Laksda Adi Sucipto 66,-7.7835063,110.4090289,Circle K,"https://www.google.com/maps/search/Circle%20K%20Laksda%20Adi%20Sucipto%2066/@-7.7835063,110.4090289,17z"
Circle K Malioboro,-7.7940705,110.3658703,Circle K,"https://www.google.com/maps/search/Circle%20K%20Malioboro/@-7.7940705,110.3658703,17z"
Circle K Nologaten Square (KORNER),-7.77848,110.4004355,Circle K,"https://www.google.com/maps/search/Circle%20K%20Nologaten%20Square%20%28KORNER%29/@-7.77848,110.4004355,17z"
Circle K Nusa Indah,-7.7514724,110.4111397,Circle K,"https://www.google.com/maps/search/Circle%20K%20Nusa%20Indah/@-7.7514724,110.4111397,17z"
Circle K Nusa Indah 2,-7.752665,110.4109558,Circle K,"https://www.google.com/maps/search/Circle%20K%20Nusa%20Indah%202/@-7.752665,110.4109558,17z"
Circle K Parangtritis,-7.8210219,110.3678185,Circle K,"https://www.google.com/maps/search/Circle%20K%20Parangtritis/@-7.8210219,110.3678185,17z"
Circle K Parangtritis Bangunharjo KM4,-7.8365171,110.3649703,Circle K,"https://www.google.com/maps/search/Circle%20K%20Parangtritis%20Bangunharjo%20KM4/@-7.8365171,110.3649703,17z"
Circle K Pasar Kembang,-7.7899486,110.3648327,Circle K,"https://www.google.com/maps/search/Circle%20K%20Pasar%20Kembang/@-7.7899486,110.3648327,17z"
Circle K Prawirotaman,-7.8192153,110.37187,Circle K,"https://www.google.com/maps/search/Circle%20K%20Prawirotaman/@-7.8192153,110.37187,17z"
Circle K Sedayu Wates KM 11,-7.8130583,110.26624,Circle K,"https://www.google.com/maps/search/Circle%20K%20Sedayu%20Wates%20KM%2011/@-7.8130583,110.26624,17z"
Circle K Seturan,-7.7717332,110.4095507,Circle K,"https://www.google.com/maps/search/Circle%20K%20Seturan/@-7.7717332,110.4095507,17z"
Circle K Seturan YKPN,-7.7681996,110.4102793,Circle K,"https://www.google.com/maps/search/Circle%20K%20Seturan%20YKPN/@-7.7681996,110.4102793,17z"
Circle K Sorogenen I,-7.7833773,110.4406889,Circle K,"https://www.google.com/maps/search/Circle%20K%20Sorogenen%20I/@-7.7833773,110.4406889,17z"
Circle K Sosrowijayan II,-7.7917382,110.3633845,Circle K,"https://www.google.com/maps/search/Circle%20K%20Sosrowijayan%20II/@-7.7917382,110.3633845,17z"
Circle K Sudirman,-7.783227,110.3723722,Circle K,"https://www.google.com/maps/search/Circle%20K%20Sudirman/@-7.783227,110.3723722,17z"
