Kecamatan;Kelurahan;latitude;longitude;search_query;gmaps_link
Karang Intan;Mandiangin Barat;;;;
Karang Intan;Mandiangin Timur;;;;
Karang Intan;Awang Bangkal Barat;;;;
Karang Intan;Awang Bangkal Timur;;;;
Karang Intan;Mandikapau Timur;;;;
Karang Intan;Mandikapau Barat;;;;
Karang Intan;Pulau Nyiur;;;;
Karang Intan;Sungai Asam;;;;
Karang Intan;Sungai Alang;;;;
Karang Intan;Sungai Landas;;;;
Karang Intan;Padang Panjang;;;;
Karang Intan;Penyambaran;;;;
Karang Intan;Lihung;;;;
Karang Intan;Karang Intan;;;;
Karang Intan;Pasar Lama;;;;
Karang Intan;Pandak Daun;;;;
Karang Intan;Jingah Habang Ulu;;;;
Karang Intan;Jingah Habang Ilir;;;;
Karang Intan;Sungai Arfat;;;;
Karang Intan;Mali Mali;;;;
Karang Intan;Lok Tangga;;;;
Karang Intan;Sungai Besar;;;;
Karang Intan;Bi Ih;;;;
Karang Intan;Balau;;;;
Karang Intan;Abirau;;;;
Paminggir;Paminggir;;;;
Paminggir;Paminggir Seberang;;;;
Paminggir;Ambahai;;;;
Paminggir;Sapala;;;;
Paminggir;Bararawa;;;;
Paminggir;Pal Batu;;;;
Paminggir;Tampakang;;;;
Sungai Raya;Bumi Berkat;;;;
Sungai Raya;Ida Manggala;;;;
Sungai Raya;Batang Kulur Tengah;;;;
Sungai Raya;Batang Kulur Kanan;;;;
Sungai Raya;Tamiyang;;;;
Sungai Raya;Asam;;;;
Sungai Raya;Baru;;;;
Sungai Raya;Sungai Kali;;;;
Sungai Raya;Batang Kulur Kiri;;;;
Sungai Raya;Hariti;;;;
Sungai Raya;Sungai Raya Selatan;;;;
Sungai Raya;Paring Agung;;;;
Sungai Raya;Sarang Halang;;;;
Sungai Raya;Sungai Raya Utara;;;;
Sungai Raya;Tanah Bangkang;;;;
Sungai Raya;Karasikan;;;;
Sungai Raya;Hamalau;;;;
Sungai Raya;Telaga Bidadari;;;;
Daha Utara;Pakapuran Kecil;;;;
Daha Utara;Panggandingan;;;;
Daha Utara;Tambak Bitin;;;;
Daha Utara;Sungai Mandala;;;;
Daha Utara;Mandala Murung Mesjid;;;;
