Kecamatan;Kelurahan;latitude;longitude;street_name;search_query;gmaps_link;location_name_maps;location_name_structured
Paringin;Balang;-2.3161725;115.4616469;MFMX+G3P, Jl. Gn. Pandau, RT.02, Desa Balang, Kec. Paringin, Kabupaten Balangan, Kalimantan Selatan 71662;Kantor Kelurahan Balang Paringin, Kalimantan Selatan;https://www.google.com/maps?q=-2.3161725,115.4616469;Kantor Desa Balang;Gedung_Kelurahan_Balang
Paringin;Murung Ilung;-2.3369841;115.4263439;MF76+6X2, Bungin, Kec. Paringin Sel., Kabupaten Balangan, Kalimantan Selatan 71611;Kantor Kelurahan Murung Ilung Paringin, Kalimantan Selatan;https://www.google.com/maps?q=-2.3369841,115.4263439;Kantor Lurah Paringin Timur;Gedung_Kelurahan_Murung_Ilung
Paringin;Hujan Mas;-2.3279917;115.3900356;MCCG+RC4, Kusambi Hulu, Kec. Lampihong, Kabupaten Balangan, Kalimantan Selatan 71662;Kantor Kelurahan Hujan Mas Paringin, Kalimantan Selatan;https://www.google.com/maps?q=-2.3279917,115.3900356;Kantor Kepala Desa Hujan Mas;Gedung_Kelurahan_Hujan_Mas
Paringin;Kalahiang;-2.3298954;115.3993551;MCCP+25R, Unnamed Road, Kalahiang, Kec. Paringin, Kabupaten Balangan, Kalimantan Selatan 71661;Kantor Kelurahan Kalahiang Paringin, Kalimantan Selatan;https://www.google.com/maps?q=-2.3298954,115.3993551;Kantor Kepala Desa Kalahiang;Gedung_Kelurahan_Kalahiang
Paringin;Layap;-2.3358188;115.4119275;MC7X+M5H Al-Hasaniyah, Jl. M. Naid Komp, Layap, Paringin, Balangan Regency, South Kalimantan 71613;Kantor Kelurahan Layap Paringin, Kalimantan Selatan;https://www.google.com/maps?q=-2.3358188,115.4119275;Kantor Desa Layap;Gedung_Kelurahan_Layap
Paringin;Paringin Kota;-2.3392646;115.4136485;MC6X+7VW, Unnamed Road, Halubau, Kec. Paringin Sel., Kabupaten Balangan, Kalimantan Selatan 71613;Kantor Kelurahan Paringin Kota Paringin, Kalimantan Selatan;https://www.google.com/maps?q=-2.3392646,115.4136485;Kantor Lurah Paringin Kota;Gedung_Kelurahan_Paringin_Kota
Paringin;Paringin Timur;-3.32;115.44;MF76+6X2, Bungin, Kec. Paringin Sel., Kabupaten Balangan, Kalimantan Selatan 71611;Kantor Kelurahan Paringin Timur Paringin, Kalimantan Selatan;https://www.google.com/maps?q=-3.32,115.44;Kantor Lurah Paringin Timur;Gedung_Kelurahan_Paringin_Timur
Paringin;Balida;-2.325922;115.4445787;MFFJ+J7J, Balida, Kec. Paringin, Kabupaten Balangan, Kalimantan Selatan 71662;Kantor Kelurahan Balida Paringin, Kalimantan Selatan;https://www.google.com/maps?q=-2.325922,115.4445787;Kantor Kepala Desa Balida;Gedung_Kelurahan_Balida
Paringin;Lasung Batu;-2.3048903;115.4360734;MFWC+2RX, Paringin Kota, Kec. Paringin, Kabupaten Balangan, Kalimantan Selatan 71662;Kantor Kelurahan Lasung Batu Paringin, Kalimantan Selatan;https://www.google.com/maps?q=-2.3048903,115.4360734;KANTOR DESA LASUNG BATU;Gedung_Kelurahan_Lasung_Batu
Paringin;Sungai Ketapi;-2.2838502;115.4454376;PF8J+FH8, Sungai Katapi, Kec. Paringin, Kabupaten Balangan, Kalimantan Selatan 71662;Kantor Kelurahan Sungai Ketapi Paringin, Kalimantan Selatan;https://www.google.com/maps?q=-2.2838502,115.4454376;Kantor Kepala Desa Sungai Katapi;Gedung_Kelurahan_Sungai_Ketapi
